event,emitter_count,listener_count,status,matched_by_pattern,emitters,listeners
crm.contact_event.logged,2,4,OK,,apps/server/src/modules/crm/crm-communication.service.ts apps/server/src/modules/crm/crm-timeline.service.ts,apps/server/src/modules/crm/best-channel.listener.ts apps/server/src/modules/crm/contact-insight.listener.ts apps/server/src/modules/crm/deal-intelligence-scheduler.service.ts apps/server/src/modules/crm/sequence-attribution.listener.ts
crm.contact_insight.recomputed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/crm/contact-insight.service.ts,
crm.conversation.analyzed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/crm/conversation-ai.service.ts,
crm.deal.created,1,2,OK,,apps/server/src/modules/crm/crm-deals.service.ts,apps/server/src/modules/crm/contact-insight.listener.ts apps/server/src/modules/crm/deal-intelligence-scheduler.service.ts
crm.deal.stage_changed,1,1,OK,,apps/server/src/modules/crm/crm-deals.service.ts,apps/server/src/modules/crm/deal-intelligence-scheduler.service.ts
crm.deal.won,1,1,OK,,apps/server/src/modules/crm/crm-deals.service.ts,apps/server/src/modules/crm/crm-sequence-scheduler.service.ts
deal.updated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/crm/crm-deals.service.ts,
delegation_loop.approval_required,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.blocked,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.failed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.started,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.trust_degraded,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delegation_loop.trust_elevated,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/autopilot/delegation-loop.service.ts,
delivery.clicked,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/crm/crm-sequence-scheduler.service.ts
delivery.completed,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/ai/ai.listener.ts
delivery.failed,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/ai/ai.listener.ts
delivery.opened,1,1,OK,,apps/server/src/modules/communications/delivery-queue.service.ts,apps/server/src/modules/crm/crm-sequence-scheduler.service.ts
document.extracted,1,1,OK,,apps/server/src/modules/ai/document-intelligence.service.ts,apps/server/src/modules/contracts/contracts.service.ts
email_campaign.cancelled,1,1,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/calendar/listeners/marketing.listener.ts
email_campaign.created,1,1,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/calendar/listeners/marketing.listener.ts
email_campaign.deleted,1,1,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/calendar/listeners/marketing.listener.ts
email_campaign.scheduled,1,1,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/calendar/listeners/marketing.listener.ts
email_campaign.sent,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/email-marketing/email-marketing.service.ts,
email_campaign.updated,1,1,OK,,apps/server/src/modules/email-marketing/email-marketing.service.ts,apps/server/src/modules/calendar/listeners/marketing.listener.ts
email.received,0,1,LISTENED_NEVER_EMITTED,,,apps/server/src/modules/connect/signature-parser.service.ts
entity.resolved,14,1,OK,,apps/server/src/core/connectors/implementations/form-platform.base.ts apps/server/src/core/connectors/implementations/gmail.connector.ts apps/server/src/core/connectors/implementations/google-calendar.connector.ts apps/server/src/core/connectors/implementations/klaviyo.connector.ts apps/server/src/core/connectors/implementations/mailchimp.connector.ts apps/server/src/core/connectors/implementations/meta-social.connector.ts apps/server/src/core/connectors/implementations/paypal.connector.ts apps/server/src/core/connectors/implementations/quickbooks.connector.ts apps/server/src/core/connectors/implementations/social-platform.base.ts apps/server/src/core/connectors/implementations/stripe.connector.ts apps/server/src/core/connectors/implementations/whatsapp.connector.ts apps/server/src/core/connectors/implementations/wipay.connector.ts apps/server/src/core/connectors/implementations/xero.connector.ts apps/server/src/modules/whatsapp/whatsapp.service.ts,apps/server/src/modules/growth-intelligence/journey-listener.service.ts
evidence.deleted,1,1,OK,,apps/server/src/modules/evidence/evidence.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
evidence.submitted,1,1,OK,,apps/server/src/modules/evidence/evidence.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
evidence.verified,1,1,OK,,apps/server/src/modules/evidence/evidence.service.ts,apps/server/src/modules/event-stream/event-stream.service.ts
expense.created,1,2,OK,,apps/server/src/modules/expenses/expenses.service.ts,apps/server/src/modules/ai/ai.listener.ts apps/server/src/modules/flow/flow.listener.ts
file.synced,1,0,EMITTED_NO_LISTENER,,apps/server/src/core/connectors/implementations/google-drive.connector.ts,
file.uploaded,2,1,OK,,apps/server/src/core/connectors/implementations/google-drive.connector.ts apps/server/src/modules/ai/connector-intelligence.service.ts,apps/server/src/modules/commerce/drive-intake.listener.ts
flow.node_changed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/flow/flow-runner.service.ts,
flow.run_completed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/flow/flow-runner.service.ts,
flow.run_failed,1,0,EMITTED_NO_LISTENER,,apps/server/src/modules/flow/flow-runner.service.ts,
