model,has_businessId,indexed_on_businessId,field_count,relation_count,reader_modules,writer_modules,accessed_by_module_count,unreferenced
KeyInboxInsight,TRUE,TRUE,18,0,key-inbox,apps/server key-inbox,2,FALSE
ConnectorAuditLog,TRUE,TRUE,9,0,key-connector packages/api,key-connector packages/api,2,FALSE
KeystoreServiceCategory,TRUE,TRUE,12,1,keystore,,1,FALSE
KeystoreServiceListing,TRUE,TRUE,23,2,keystore,keystore,1,FALSE
KeystoreServiceOrder,TRUE,TRUE,28,2,keystore,keystore,1,FALSE
KeystoreServiceOrderMessage,FALSE,,10,1,,keystore,1,FALSE
CortexSession,TRUE,TRUE,24,1,key-cortex,,1,FALSE
CortexActionLog,TRUE,TRUE,19,1,key-cortex,key-cortex,1,FALSE
KeyDocument,TRUE,TRUE,12,1,,,0,TRUE
KeyEvolutionLog,TRUE,TRUE,12,1,,key-cortex,1,FALSE
KeyCallSession,TRUE,TRUE,16,1,,,0,TRUE
KeyTuningLog,TRUE,TRUE,6,1,,,0,TRUE
KeyUserPreferences,TRUE,TRUE,14,1,,,0,TRUE
KeyInteractionFeedback,TRUE,FALSE,12,1,,,0,TRUE
SandboxExecutionLog,TRUE,TRUE,13,1,,,0,TRUE
AiApprovalRequest,TRUE,TRUE,17,1,,,0,TRUE
PromptVersion,FALSE,,9,0,,,0,TRUE
CognitionMemory,TRUE,TRUE,16,1,key-cortex,key-cortex,1,FALSE
CognitionSession,TRUE,TRUE,10,1,key-cortex,key-cortex,1,FALSE
LLMProviderCost,TRUE,TRUE,17,1,ai,ai,1,FALSE
ConnectorHealthLog,TRUE,TRUE,10,1,key-connector,key-connector,1,FALSE
SyncJob,TRUE,TRUE,15,1,key-connector,key-connector,1,FALSE
BusinessSetting,TRUE,TRUE,12,1,key-autonomy,,1,FALSE
BusinessGenome,TRUE,TRUE,14,1,key-cortex,key-cortex,1,FALSE
ActivityLog,TRUE,TRUE,8,1,activity,activity,1,FALSE
Task,TRUE,TRUE,12,1,key-cortex,,1,FALSE
Message,TRUE,TRUE,13,1,key-cortex,key-cortex,1,FALSE
FlowDefinition,TRUE,TRUE,19,1,,,0,TRUE
FlowExecution,TRUE,TRUE,15,2,,,0,TRUE
Report,TRUE,TRUE,11,1,,,0,TRUE
Reminder,TRUE,TRUE,10,1,,,0,TRUE
Workflow,TRUE,TRUE,11,1,key-cortex,,1,FALSE
Document,TRUE,TRUE,9,1,,,0,TRUE
Lead,TRUE,TRUE,12,1,key-cortex,,1,FALSE
Campaign,TRUE,TRUE,11,1,key-cortex,,1,FALSE
OutboundCampaign,TRUE,TRUE,10,1,content,content,1,FALSE
CrmTask,TRUE,TRUE,13,2,key-cortex,,1,FALSE
CrmActivity,TRUE,TRUE,10,2,key-cortex,,1,FALSE
HelpdeskTicket,TRUE,TRUE,13,1,,,0,TRUE
SupportTicketMessage,TRUE,TRUE,9,1,helpdesk,helpdesk,1,FALSE
