caller_file,requested_path,normalized_path,external,server_route_exists,server_route_mounted,matched_controller,loose_match,path_fragment,status
apps/web/src/app/app/intelligence/compliance/page.tsx,/businesses/:param/evidence,/businesses/:param/evidence,FALSE,TRUE,TRUE,EvidenceController,,,OK
apps/web/src/app/app/intelligence/compliance/page.tsx,/api/v1/cortex/audit/decisions,/api/v1/cortex/audit/decisions,FALSE,TRUE,TRUE,KeyCortexAuditController,,,OK
apps/web/src/app/app/inventory/page.tsx,/marketplace/businesses/:param/warehouses,/marketplace/businesses/:param/warehouses,FALSE,TRUE,TRUE,MarketplaceController,,,OK
apps/web/src/app/app/inventory/page.tsx,/marketplace/businesses/:param/inventory,/marketplace/businesses/:param/inventory,FALSE,TRUE,TRUE,MarketplaceController,,,OK
apps/web/src/app/app/inventory/page.tsx,/marketplace/businesses/:param/warehouses/:param,/marketplace/businesses/:param/warehouses/:param,FALSE,TRUE,TRUE,MarketplaceController,,,OK
apps/web/src/app/app/inventory/page.tsx,/marketplace/businesses/:param/purchase-orders,/marketplace/businesses/:param/purchase-orders,FALSE,TRUE,TRUE,MarketplaceController,,,OK
apps/web/src/app/app/inventory/page.tsx,/marketplace/businesses/:param/purchase-orders/:param,/marketplace/businesses/:param/purchase-orders/:param,FALSE,TRUE,TRUE,MarketplaceController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/accounts,/connect/businesses/:param/business-profile/accounts,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/reviews,/connect/businesses/:param/business-profile/reviews,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/posts,/connect/businesses/:param/business-profile/posts,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/active-location,/connect/businesses/:param/business-profile/active-location,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/reviews/reply,/connect/businesses/:param/business-profile/reviews/reply,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/scheduled-posts,/connect/businesses/:param/business-profile/scheduled-posts,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/scheduled-posts/:param,/connect/businesses/:param/business-profile/scheduled-posts/:param,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/connect/businesses/:param/business-profile/insights,/connect/businesses/:param/business-profile/insights,FALSE,TRUE,TRUE,ConnectController,,,OK
apps/web/src/app/app/key-connect/components/business-profile/business-profile-manage-drawer.tsx,/ai/businesses/:param/ai/chat,/ai/businesses/:param/ai/chat,FALSE,TRUE,TRUE,AiController,,,OK
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/status,/bookings/businesses/:param/calendar/status,FALSE,TRUE,TRUE,BookingsController,,,OK
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/conflicts,/bookings/businesses/:param/calendar/conflicts,FALSE,TRUE,TRUE,BookingsController,,,OK
apps/web/src/app/app/key-connect/components/calendar-sync-settings.tsx,/bookings/businesses/:param/calendar/list,/bookings/businesses/:param/calendar/list,FALSE,TRUE,TRUE,BookingsController,,,OK
